date,gini
2017-08-11,8.469977016344599e-06
2017-08-13,8.469974491932576e-06
2017-08-14,8.469978384347407e-06
2017-08-15,8.438751633386783e-06
2017-08-16,8.41617874321233e-06
2017-08-17,8.422378983424609e-06
2017-08-18,8.429804470611103e-06
2017-08-19,8.437472187249129e-06
2017-08-20,8.438108459238118e-06
2017-08-21,8.439138875052535e-06
2017-08-22,8.44044779193423e-06
2017-08-23,8.440618258838387e-06
2017-08-24,8.44071228061482e-06
2017-08-25,8.441089837273043e-06
2017-08-26,8.44228856007853e-06
2017-08-27,8.44212049154578e-06
2017-08-28,8.442010199349725e-06
2017-08-29,8.442040731280353e-06
2017-08-30,8.442870608987082e-06
2017-08-31,8.442687672629701e-06
2017-09-01,8.442599905146455e-06
2017-09-02,8.442678850677374e-06
2017-09-03,8.442887676891036e-06
2017-09-04,8.442963841052552e-06
2017-09-05,8.442735850278617e-06
2017-09-06,8.4424897084026e-06
2017-09-07,8.442657326378371e-06
2017-09-08,8.442081616742051e-06
2017-09-09,8.441816980032266e-06
2017-09-10,8.441713680337771e-06
2017-09-11,8.44174796736136e-06
2017-09-12,8.441596850132024e-06
2017-09-13,8.44158329919789e-06
2017-09-14,8.44166831217646e-06
2017-09-15,8.441887706412004e-06
2017-09-16,8.441695771045788e-06
2017-09-17,8.441502323577874e-06
2017-09-18,8.441404080627724e-06
2017-09-19,8.441494586798008e-06
2017-09-20,8.441782782822546e-06
2017-09-21,8.441771150028127e-06
2017-09-22,8.441767639091513e-06
2017-09-23,8.441729112349234e-06
2017-09-24,8.441792320002906e-06
2017-09-25,8.441675460521907e-06
2017-09-26,8.441608612787164e-06
2017-09-27,8.441406135272034e-06
2017-09-28,8.441293621637108e-06
2017-09-29,8.44124233626584e-06
2017-09-30,8.441279941154467e-06
2017-10-01,8.441315548980489e-06
2017-10-02,8.441216203874007e-06
2017-10-03,8.44117908187094e-06
2017-10-04,8.441385670001629e-06
2017-10-05,8.441433329497853e-06
2017-10-06,8.441350893099661e-06
2017-10-07,8.441322850612375e-06
2017-10-08,8.44258787785699e-06
2017-10-09,8.442995119116443e-06
2017-10-10,8.442996598315623e-06
2017-10-11,8.4437911904445e-06
2017-10-12,8.444265862565366e-06
2017-10-13,8.444618688389073e-06
2017-10-14,8.444880808019421e-06
2017-10-15,8.446179715216524e-06
2017-10-16,8.446270441258831e-06
2017-10-17,8.446032145811725e-06
2017-10-18,8.445951850409738e-06
2017-10-19,8.44612703967939e-06
2017-10-20,8.445973664114081e-06
2017-10-21,8.44598751904527e-06
2017-10-22,8.445951673265993e-06
2017-10-23,8.445852712925221e-06
2017-10-24,8.445669983087853e-06
2017-10-25,8.44562615280479e-06
2017-10-26,8.445563577714212e-06
2017-10-27,8.44553697285488e-06
2017-10-28,8.445544531632392e-06
2017-10-29,8.445450326578e-06
2017-10-30,8.445401631258499e-06
2017-10-31,8.445573846077987e-06
2017-11-01,8.445116839065215e-06
2017-11-02,8.445341293139759e-06
2017-11-03,8.445190595589722e-06
2017-11-04,8.444984933624078e-06
2017-11-05,8.445005153902493e-06
2017-11-06,8.444872680408505e-06
2017-11-07,8.444851762611378e-06
2017-11-08,8.444549538469757e-06
2017-11-09,8.444398425161545e-06
2017-11-10,8.444518861691826e-06
